barangay,barangay_link,population_percentage,population_2015,population_2020,census_date,household_population_2015,number_of_households_2015,average_household_size_2015
Blue Ridge B,https://www.philatlas.com/luzon/ncr/quezon-city/blue-ridge-b.html,0.04%,"1,701","1,071",2015Aug1,"1,701",361,4.71
Botocan,https://www.philatlas.com/luzon/ncr/quezon-city/botocan.html,0.25%,"8,234","7,501",2015Aug1,"7,631","1,760",4.34
Bungad,https://www.philatlas.com/luzon/ncr/quezon-city/bungad.html,0.24%,"8,057","7,014",2015Aug1,"8,057","2,376",3.39
Camp Aguinaldo,https://www.philatlas.com/luzon/ncr/quezon-city/camp-aguinaldo.html,0.11%,"4,977","3,269",2015Aug1,"4,971",954,5.21
Capri,https://www.philatlas.com/luzon/ncr/quezon-city/capri.html,0.44%,"14,587","12,903",2015Aug1,"14,587","2,814",5.18
Central,https://www.philatlas.com/luzon/ncr/quezon-city/central.html,0.65%,"17,590","19,331",2015Aug1,"17,392","4,475",3.89
Claro,https://www.philatlas.com/luzon/ncr/quezon-city/claro.html,0.13%,"4,432","3,885",2015Aug1,"4,432","1,123",3.95
Commonwealth,https://www.philatlas.com/luzon/ncr/quezon-city/commonwealth.html,7.20%,"198,285","213,229",2015Aug1,"198,235","45,432",4.36
Culiat,https://www.philatlas.com/luzon/ncr/quezon-city/culiat.html,2.29%,"74,304","67,804",2015Aug1,"74,208","17,279",4.29
Damar,https://www.philatlas.com/luzon/ncr/quezon-city/damar.html,0.03%,"1,646",952,2015Aug1,"1,644",325,5.06
Damayan,https://www.philatlas.com/luzon/ncr/quezon-city/damayan.html,0.20%,"8,716","6,007",2015Aug1,"8,716","2,173",4.01
Damayang Lagi,https://www.philatlas.com/luzon/ncr/quezon-city/damayang-lagi.html,0.66%,"18,599","19,466",2015Aug1,"18,431","5,201",3.54
Del Monte,https://www.philatlas.com/luzon/ncr/quezon-city/del-monte.html,0.36%,"12,185","10,595",2015Aug1,"11,795","2,964",3.98
Dioquino Zobel,https://www.philatlas.com/luzon/ncr/quezon-city/dioquino-zobel.html,0.06%,"1,887","1,805",2015Aug1,"1,887",423,4.46
Don Manuel,https://www.philatlas.com/luzon/ncr/quezon-city/don-manuel.html,0.06%,"3,753","1,728",2015Aug1,"3,735",856,4.36
Doña Imelda,https://www.philatlas.com/luzon/ncr/quezon-city/dona-imelda.html,0.40%,"16,915","11,724",2015Aug1,"16,806","4,630",3.63
Doña Josefa,https://www.philatlas.com/luzon/ncr/quezon-city/dona-josefa.html,0.06%,"2,909","1,857",2015Aug1,"2,878",810,3.55
Duyan-duyan,https://www.philatlas.com/luzon/ncr/quezon-city/duyan-duyan.html,0.11%,"3,870","3,357",2015Aug1,"3,870","1,003",3.86
E. Rodriguez,https://www.philatlas.com/luzon/ncr/quezon-city/e-rodriguez.html,0.59%,"19,594","17,363",2015Aug1,"19,278","5,390",3.58
East Kamias,https://www.philatlas.com/luzon/ncr/quezon-city/east-kamias.html,0.22%,"6,206","6,395",2015Aug1,"6,206","1,541",4.03
